rank,content_id,client_id,position_tier,impressions_90d,ctr,pred_prob,ctr_gap_score,archetype,reason_low_ctr_vs_tier,reason_high_stakes,reason_model_flagged,high_confidence
3006,content_d2436405f394,client_4e07408562,page_1,1117,0.18,0.5950596102606248,0.06,dual_underperformer,True,False,True,False
3007,content_40b6c238f6f8,client_7f2253d7e2,striking,811,0.0,0.5950429767480074,0.17,ctr_only_underperformer,True,False,True,False
3008,content_1979bef80d6f,client_19581e27de,page_1,1460,0.07,0.5950206859636271,0.16999999999999998,ctr_only_underperformer,True,False,True,False
3009,content_bb55d0dab9d9,client_f369cb89fc,page_1,1502,0.07,0.5950194873150823,0.16999999999999998,dual_underperformer,True,False,True,False
3010,content_4949d6107538,client_f369cb89fc,top_3,5105,0.06,0.5949940784651909,0.14,ctr_only_underperformer,True,False,True,False
3011,content_cd7461b614c4,client_2c624232cd,page_1,1181,0.08,0.5949872191644688,0.15999999999999998,ctr_only_underperformer,True,False,True,False
3012,content_1b71e617d3e3,client_349c41201b,striking,1210,0.17,0.5948793792984387,0.0,healthy,False,False,True,False
3013,content_d30ca0183536,client_bbb965ab0c,striking,1615,0.12,0.5948785909557136,0.05000000000000002,ctr_only_underperformer,True,False,True,False
3014,content_1d5ec705cae6,client_434c9b5ae5,page_1,1277,0.23,0.5948226085326113,0.009999999999999981,ctr_only_underperformer,True,False,True,False
3015,content_4c75eaf0614e,client_19581e27de,page_1,726,0.55,0.5948142079354195,0.0,engagement_only_underperformer,False,False,True,False
3016,content_bc09827ad055,client_f369cb89fc,page_1,607,0.16,0.5948050861510733,0.07999999999999999,ctr_only_underperformer,True,False,True,False
3017,content_d4fdf16d277d,client_6208ef0f77,striking,701,0.0,0.5947939717803762,0.17,ctr_only_underperformer,True,False,True,False
3018,content_371627f6f29f,client_f74efabef1,page_1,1016,0.3,0.5947766067175285,0.0,engagement_only_underperformer,False,False,True,False
3019,content_cecfa73a2ae6,client_7f2253d7e2,top_3,1631,0.25,0.5947740527669448,0.0,healthy,False,False,True,False
3020,content_7f49b34e6d16,client_19581e27de,striking,1717,0.12,0.5947656984050619,0.05000000000000002,dual_underperformer,True,False,True,False
3021,content_286fb3cc9e4f,client_7f2253d7e2,striking,731,0.27,0.5947421591892834,0.0,engagement_only_underperformer,False,False,True,False
3022,content_62010e71e9dc,client_f369cb89fc,striking,935,0.21,0.5947147630692708,0.0,engagement_only_underperformer,False,False,True,False
3023,content_13af59e1555a,client_4e07408562,striking,905,0.33,0.5946863350365444,0.0,engagement_only_underperformer,False,False,True,False
3024,content_3728ab9836d3,client_6208ef0f77,striking,1009,0.2,0.5946844040123818,0.0,healthy,False,False,True,False
3025,content_86008e9c2fa7,client_bbb965ab0c,striking,968,0.1,0.594683929012123,0.07,dual_underperformer,True,False,True,False
3026,content_0812cf599769,client_349c41201b,page_1,959,0.0,0.5946614647974895,0.24,ctr_only_underperformer,True,False,True,False
3027,content_c149dfab5d24,client_f369cb89fc,page_1,2346,0.13,0.5945875725683032,0.10999999999999999,ctr_only_underperformer,True,False,True,False
3028,content_8ca5d30aeeb2,client_19581e27de,page_1,1656,0.12,0.594568074957949,0.12,dual_underperformer,True,False,True,False
3029,content_7ae4f65221a4,client_7f2253d7e2,page_1,671,0.3,0.5945214799468931,0.0,healthy,False,False,True,False
3030,content_7d0f2fae6ac0,client_f74efabef1,striking,661,0.3,0.5945187033063847,0.0,healthy,False,False,True,False
3031,content_da58656c6085,client_6208ef0f77,striking,783,0.13,0.5945031307714459,0.04000000000000001,ctr_only_underperformer,True,False,True,False
